Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
lule,BR,"yoru, deadlock, raze",3,114,189,0.72,54%,132.2,0.64,0.17,0.21,0.25,25%,33%,02-Jun,19,73,101,19,24,28
LAnnnnn,TW,"jett, chamber, raze",3,53,146.7,0.67,53%,101.6,0.58,0.04,0.11,0.23,40%,25%,01-Apr,17,31,46,2,6,12
Atisca,MX,"jett, raze, viper",3,157,160,0.72,61%,109,0.6,0.1,0.06,0.12,26%,12%,Feb-17,17,94,131,16,9,19
Lucky,JP,"jett, neon, waylay",3,198,155.5,0.71,57%,111.6,0.56,0.13,0.13,0.23,29%,25%,03-Dec,23,111,156,26,25,45
NOOB,BR,"sova, viper, cypher",3,117,121,0.72,62%,86.2,0.52,0.21,0.05,0.03,39%,9%,01-Nov,15,61,85,24,6,3
Boostio,US,"cypher, killjoy, breach",3,430,147.7,0.73,59%,100.4,0.53,0.2,0.06,0.12,30%,15%,Jun-40,20,226,311,87,24,52
Sixman,US,"jett, yoru, neon",3,188,178.9,0.76,60%,112.3,0.63,0.13,0.1,0.19,32%,11%,Feb-18,26,118,156,25,18,36
ShedeRik,RU,breach,1,42,152,0.53,71%,102.6,0.45,0.55,0.05,0.1,21%,,0/7,13,19,36,23,2,4
daniel,UN,"iso, jett, cypher",3,153,165.5,0.7,57%,123.1,0.61,0.15,0.09,0.18,28%,,0/18,23,93,133,23,14,27
eren,RU,cypher,1,29,207.5,0.7,55%,124.8,0.66,0.17,0.03,0.17,13%,,0/6,10,19,27,5,1,5
ASADSDSFGH,UN,"jett, raze",2,59,171.7,0.77,58%,55.5,0.61,0.12,0.17,0.19,18%,100%,01-Jan,20,36,47,7,10,11
Shaggy,AU,"vyse, killjoy",2,44,187,0.68,70%,136.3,0.59,0.27,0.18,0.18,26%,,0/4,13,26,38,12,8,8
style,CA,"kayo, omen",2,72,145.7,0.66,71%,91.2,0.51,0.44,0.03,0.14,27%,14%,01-Jul,18,37,56,32,2,10
Bak1,TW,yoru,1,31,176,0.61,71%,119.2,0.55,0.29,0.16,0.1,22%,11%,01-Sep,9,17,28,9,5,3
flora,DE,"raze, neon",2,79,162,0.62,57%,83.9,0.53,0.18,0.14,0.16,21%,,0/7,13,42,68,14,11,13
sevn,UN,sova,1,43,157,0.59,58%,112,0.51,0.4,0.05,0.09,25%,33%,02-Jun,18,22,37,17,2,4
siJk,RU,jett,1,49,159,0.78,57%,94,0.59,0.04,0.18,0.12,30%,,0/6,18,29,37,2,9,6
babykiwii,LA,"cypher, vyse, killjoy",3,283,152.7,0.72,61%,106.7,0.53,0.17,0.05,0.08,27%,11%,Apr-37,20,150,208,47,15,24
Jettos,AU,"vyse, fade",2,40,161,0.67,63%,106.9,0.55,0.3,0.05,0.05,23%,,0/10,12,22,33,12,2,2
s4smi,JP,killjoy,1,30,176,0.67,53%,110.5,0.6,0.03,0.17,0.13,27%,,0/7,11,18,27,1,5,4
SweeN,FR,omen,1,22,148,0.67,64%,105.8,0.45,0.23,0.09,0.09,19%,,0/3,10,10,15,5,2,2
Daimyo,JP,"sova, fade, omen",3,300,154.5,0.64,67%,98,0.52,0.31,0.05,0.09,26%,,0/38,20,157,245,94,16,27
Silliam,SE,"sova, fade, breach",3,101,143.4,0.65,67%,97.5,0.5,0.45,0.05,0.14,24%,14%,Feb-14,16,51,79,45,5,14
Exeos,CA,"viper, cypher, yoru",3,155,166.9,0.69,52%,101.6,0.57,0.15,0.06,0.15,26%,7%,Jan-15,14,89,129,24,10,23
APII,JP,omen,1,29,166.5,0.56,66%,109.3,0.48,0.41,0,0.03,32%,,0/10,9,14,25,12,0,1
Emeraldzy,ID,sova,1,31,167,0.59,61%,101.1,0.55,0.35,0.1,0.19,16%,,0/4,10,17,29,11,3,6
Desire,UN,"fade, killjoy, viper",3,157,172.4,0.68,62%,119.1,0.57,0.25,0.14,0.2,17%,6%,Jan-18,18,90,133,40,22,31
ALEKX,RU,"kayo, sova, fade",3,140,148.8,0.6,55%,101,0.51,0.15,0.07,0.09,26%,20%,Mar-15,16,72,121,21,10,12
Don,AU,"cypher, killjoy, sova",3,70,162.5,0.62,56%,107.5,0.54,0.2,0.07,0.06,30%,17%,02-Dec,13,38,61,14,5,4
leevi,UN,"breach, omen",2,40,169,0.66,68%,111.4,0.58,0.4,0.05,0.18,45%,,0/3,14,23,35,16,2,7
vit9ine,BR,"cypher, killjoy, viper",3,109,155.4,0.7,67%,104.3,0.53,0.17,0.04,0.11,28%,18%,Mar-17,15,58,83,19,4,12
paashi,DE,"killjoy, brimstone, omen",3,98,151,0.61,56%,110,0.52,0.22,0.08,0.1,42%,8%,01-Dec,17,51,83,22,8,10
suki,UN,"deadlock, cypher",2,40,163,0.66,70%,110,0.53,0.18,0.08,0.05,34%,13%,01-Aug,14,21,32,7,3,2
luyta,BR,"cypher, vyse",2,130,161.6,0.73,57%,113.9,0.59,0.14,0.06,0.12,33%,4%,Jan-26,20,77,106,18,8,16
feiti,BR,neon,1,130,175.4,0.72,65%,117.8,0.61,0.14,0.11,0.19,27%,,0/10,17,79,109,18,14,25
Gaksayoshi,VN,"fade, sova",2,40,167,0.64,60%,109.2,0.53,0.2,0.15,0.18,41%,17%,01-Jun,12,21,33,8,6,7
echo,UN,"sova, omen, viper",3,227,159.5,0.6,63%,107,0.52,0.23,0.07,0.14,23%,14%,May-36,18,119,197,53,16,31
emilia,DE,"neon, yoru, jett",3,297,159.1,0.72,60%,110.8,0.57,0.15,0.09,0.15,25%,18%,Apr-22,24,170,235,46,26,46
kingHaS,GB,"omen, killjoy",2,130,146.3,0.74,65%,92,0.52,0.25,0.03,0.15,21%,10%,Feb-20,20,68,92,32,4,19
ScT,IE,"sova, fade",2,110,153.7,0.64,68%,108.7,0.51,0.3,0.02,0.06,32%,,0/12,15,56,88,33,2,7
MrCipe,MX,"cypher, astra, vyse",3,61,160.3,0.73,69%,102.9,0.54,0.33,0.07,0.1,24%,,0/9,17,33,45,20,4,6
dan,UN,vyse,1,42,151.5,0.74,69%,108.1,0.55,0.07,0.05,0.02,25%,,0/3,13,23,31,3,2,1
Antsy,TR,"deadlock, viper, omen",3,203,147.2,0.65,67%,92.4,0.5,0.24,0.05,0.11,24%,8%,01-Dec,14,101,155,49,11,23
Smylie,AU,"omen, viper",2,44,144,0.67,61%,105.4,0.5,0.27,0,0.11,25%,38%,03-Aug,17,22,33,12,0,5
Asta,UN,"vyse, iso",2,40,153.5,0.65,63%,111.2,0.5,0.2,0.1,0.2,34%,17%,01-Jun,11,20,31,8,4,8
Vader,UN,"omen, reyna",2,38,163,0.72,63%,105.4,0.61,0.24,0.03,0.21,23%,,0/4,18,23,32,9,1,8
Sleepycakey,ID,"raze, jett, neon",3,146,190.9,0.7,65%,122,0.6,0.18,0.18,0.25,16%,13%,Feb-15,16,87,125,26,27,36
umut coban,TR,jett,1,37,199.5,0.71,68%,124.6,0.68,0.16,0.32,0.19,33%,50%,01-Feb,14,25,35,6,12,7
soji,VN,"raze, neon, jett",3,60,166,0.67,62%,119.5,0.58,0.22,0.18,0.22,20%,,,19,35,52,13,11,13
delamac,ES,omen,1,34,174.5,0.6,62%,123.5,0.53,0.44,0.09,0.21,22%,,0/4,11,18,30,15,3,7
Limits,UN,"neon, jett",2,33,164,0.64,48%,117.9,0.55,0.15,0,0.18,39%,,0/3,12,18,28,5,0,6
kozzy,UN,"jett, yoru, neon",3,64,204.7,0.79,63%,137.6,0.72,0.09,0.22,0.23,32%,33%,01-Mar,22,46,58,6,14,15
Mugetsu,UN,"sova, fade",2,111,142.7,0.6,61%,92.7,0.49,0.31,0.05,0.13,19%,13%,Mar-23,14,54,90,34,6,14
FloraH,UN,omen,1,70,126.3,0.56,61%,87.7,0.41,0.44,0,0.04,30%,7%,Jan-15,12,29,52,31,0,3
Migstur,MX,"vyse, sova",2,35,152.5,0.63,63%,105.5,0.49,0.23,0.03,0.11,24%,,0/10,9,17,27,8,1,4
Aysheesh,TR,cypher,1,20,185,0.71,60%,111.1,0.6,0.1,0.2,0.2,46%,,0/2,12,12,17,2,4,4
Ven0m,UN,"cypher, vyse, killjoy",3,207,153.6,0.69,60%,106.9,0.54,0.14,0.1,0.11,26%,15%,Apr-26,16,111,160,28,20,23
Cyan,ES,"sova, fade",2,61,130.7,0.64,54%,88.9,0.49,0.13,0.07,0.05,24%,18%,02-Nov,16,30,47,8,4,3
peso,BR,"raze, neon, jett",3,83,171.3,0.72,63%,108.8,0.57,0.19,0.13,0.2,20%,17%,01-Jun,15,47,65,16,11,17
Yuna,CL,neon,1,41,164.5,0.66,49%,103.3,0.51,0.24,0.1,0.29,35%,33%,01-Mar,12,21,32,10,4,12
Vixeria,MV,"reyna, raze, neon",3,100,171.8,0.63,55%,120.9,0.54,0.19,0.11,0.24,30%,11%,01-Sep,19,54,86,19,11,24
ChR,BR,"viper, cypher, killjoy",3,105,121.8,0.65,62%,85.4,0.45,0.12,0.06,0.1,34%,13%,Feb-15,16,47,72,13,6,11
Syllene,NL,"cypher, omen, gekko",3,196,145.1,0.67,64%,100.4,0.53,0.23,0.06,0.13,24%,19%,Mar-16,25,104,156,45,11,26
YaraJ,UN,omen,1,64,146.7,0.71,69%,97.1,0.53,0.34,0.08,0.09,21%,8%,01-Dec,15,34,48,22,5,6
razC,UN,"fade, sova",2,73,135.3,0.53,67%,99.2,0.44,0.3,0.07,0.15,19%,,0/9,14,32,60,22,5,11
Jvvry,SA,"killjoy, cypher",2,83,141.8,0.67,58%,102,0.52,0.19,0.1,0.13,27%,15%,Feb-13,15,43,64,16,8,11
Chulo,UN,jett,1,39,186,0.79,56%,131.1,0.69,0.1,0.15,0.28,39%,,0/2,18,27,34,4,6,11
ASTERR,IT,"omen, viper",2,66,153.8,0.55,61%,102.1,0.47,0.32,0.03,0.06,27%,,0/11,11,31,56,21,2,4
izi,CL,"cypher, killjoy, vyse",3,103,150.8,0.68,55%,98,0.51,0.17,0.05,0.1,22%,12%,Feb-17,14,53,78,17,5,10
Prame,TH,"sova, jett, neon",3,116,161.2,0.71,67%,105.3,0.54,0.27,0.1,0.17,22%,33%,03-Sep,20,63,89,31,12,20
kami,UN,omen,1,33,134,0.63,55%,98,0.52,0.39,0.03,0.12,20%,67%,02-Mar,14,17,27,13,1,4
Rbeast,UN,"neon, raze",2,29,165,0.65,59%,99.5,0.59,0.07,0.14,0.14,38%,,0/5,12,17,26,2,4,4
askoo,FR,"breach, sova, kayo",3,163,145.3,0.63,67%,99.9,0.48,0.24,0.02,0.1,30%,8%,Jan-13,13,78,123,39,4,16
D4RKN3XX,MX,"tejo, breach",2,37,140,0.52,54%,88.1,0.41,0.32,0.03,0.05,17%,,0/7,9,15,29,12,1,2
Jetstream,IN,"cypher, vyse",2,39,171.5,0.67,51%,109.9,0.56,0.1,0.15,0.15,33%,13%,01-Aug,12,22,33,4,6,6
pnema,UN,"brimstone, omen",2,32,152.5,0.52,56%,105.4,0.47,0.41,0.03,0.09,36%,14%,01-Jul,10,15,29,13,1,3
sumii,SG,"astra, omen, viper",3,230,137.4,0.62,66%,90.4,0.45,0.42,0.03,0.07,18%,17%,Apr-23,14,103,166,96,6,16
rooster,MV,"cypher, astra",2,42,148.5,0.63,62%,103.8,0.52,0.19,0.02,0.07,18%,,0/6,17,22,35,8,1,3
aurahh,VN,"jett, yoru, raze",3,245,175.2,0.68,62%,116.1,0.59,0.2,0.11,0.19,22%,6%,Jan-16,20,145,212,49,27,47
5555555,TH,"killjoy, cypher",2,65,180,0.75,65%,124.2,0.6,0.11,0.05,0.14,25%,22%,02-Sep,15,39,52,7,3,9
Bansen,CA,"cypher, killjoy, omen",3,148,144,0.59,54%,103.2,0.49,0.25,0.07,0.07,30%,6%,Jan-18,16,73,123,37,11,11
Iceman,MV,omen,1,50,132.5,0.67,68%,92.8,0.48,0.22,0.06,0.08,25%,,0/7,12,24,36,11,3,4
swervo,UN,"gekko, sova, yoru",3,124,152.5,0.62,61%,100.8,0.5,0.23,0.09,0.15,21%,18%,02-Nov,15,62,100,29,11,18
STAVINCI,DE,"omen, breach, sova",3,270,135.3,0.63,62%,97.2,0.49,0.27,0.09,0.11,36%,4%,Jan-26,21,132,208,72,23,29
WheelzOnFire,HU,omen,1,59,131.3,0.63,66%,55.2,0.46,0.36,0.02,0.12,17%,8%,01-Dec,11,27,43,21,1,7
exe,TR,"fade, sova",2,63,148,0.71,56%,102.5,0.51,0.22,0.06,0.05,24%,17%,01-Jun,15,32,45,14,4,3
Manimal,UN,breach,1,30,182,0.61,63%,114.4,0.57,0.5,0.03,0.07,17%,,0/7,9,17,28,15,1,2
ID0,JP,"cypher, yoru, killjoy",3,102,138,0.63,59%,93.7,0.49,0.16,0.06,0.08,31%,20%,Mar-15,13,50,80,16,6,8
zids,ID,"killjoy, cypher, vyse",3,138,160.6,0.68,66%,103.2,0.57,0.24,0.08,0.08,36%,10%,Mar-29,16,78,115,33,11,11
Liq,MN,"viper, kayo, brimstone",3,70,164.3,0.67,69%,107.9,0.56,0.26,0.1,0.06,29%,14%,01-Jul,11,39,58,18,7,4
felito,DE,"viper, cypher, killjoy",3,75,131.5,0.58,43%,63.6,0.48,0.11,0.07,0.17,27%,25%,Apr-16,16,36,62,8,5,13
zProtection,DE,"kayo, phoenix",2,75,170,0.54,55%,78.7,0.49,0.31,0.09,0.12,27%,,0/9,13,37,68,23,7,9
bored,UN,"clove, omen, killjoy",3,109,169,0.66,64%,116,0.59,0.22,0.06,0.07,42%,10%,Feb-20,22,64,97,24,7,8
Tura,MX,clove,1,43,185.5,0.63,67%,107.6,0.6,0.23,0.12,0.14,35%,22%,02-Sep,15,26,41,10,5,6
Uncreative,CA,"yoru, breach, viper",3,334,170.7,0.66,60%,112.9,0.58,0.24,0.09,0.14,29%,14%,May-35,23,195,295,81,31,47
Hyungwonho,LA,"cypher, killjoy, deadlock",3,241,134.9,0.67,62%,79.2,0.49,0.19,0.05,0.08,16%,14%,Apr-29,17,118,176,45,12,20
T3ps,VN,"reyna, phoenix, iso",3,98,160.6,0.65,64%,113.2,0.56,0.2,0.1,0.16,33%,8%,01-Dec,19,55,84,20,10,16
BandiCoot,CO,"vyse, cypher, fade",3,69,165,0.6,68%,107.7,0.51,0.26,0.04,0.12,19%,,0/13,11,35,58,18,3,8
Amiix,ES,omen,1,131,156.4,0.63,60%,86,0.53,0.22,0.04,0.11,30%,4%,Jan-23,19,70,112,29,5,15
Len,ES,"sova, fade",2,131,147.4,0.61,56%,82.5,0.5,0.18,0.03,0.05,21%,19%,Apr-21,18,65,107,23,4,7
Kaduester,UN,"reyna, jett, neon",3,193,167.4,0.7,64%,113.7,0.59,0.19,0.15,0.26,26%,,0/15,23,113,161,37,28,51
Fresht,CO,cypher,1,36,192.5,0.68,58%,126.6,0.58,0.14,0.11,0.19,34%,13%,01-Aug,12,21,31,5,4,7
Green,US,"yoru, fade, omen",3,326,166.9,0.63,60%,110.5,0.53,0.26,0.08,0.13,24%,6%,Feb-35,16,173,274,86,27,44
spyder,UN,"omen, sova, gekko",3,173,166,0.65,56%,108.5,0.57,0.24,0.06,0.16,31%,15%,Apr-26,18,99,153,42,10,28
Tea,MY,"killjoy, gekko",2,42,148.5,0.65,48%,101.9,0.57,0.12,0.07,0.07,27%,13%,01-Aug,18,24,37,5,3,3
L1nyix,TW,omen,1,38,135,0.69,55%,93.9,0.53,0.18,0.05,0.13,33%,20%,01-May,13,20,29,7,2,5
Rosemary,US,"killjoy, cypher, fade",3,77,159.8,0.69,52%,99,0.57,0.16,0.09,0.16,32%,,0/7,14,44,64,12,7,12
Sora,UN,"sova, fade, cypher",3,73,154.3,0.65,62%,92.5,0.53,0.23,0.04,0.1,35%,,0/7,14,39,60,17,3,7
viqsm,UN,jett,1,44,164,0.69,52%,121,0.57,0.09,0.07,0.18,29%,,0/3,14,25,36,4,3,8
vannityy,CL,"killjoy, cypher, vyse",3,93,156.7,0.62,54%,113,0.57,0.13,0.03,0.15,39%,5%,Jan-21,14,53,85,12,3,14
Lian,UY,"omen, viper, breach",3,198,135,0.65,61%,90.7,0.5,0.23,0.07,0.11,35%,9%,Mar-33,14,99,153,45,14,21
slightslash,ID,"fade, yoru",2,37,195.5,0.66,65%,133.9,0.62,0.32,0.16,0.19,25%,,0/5,16,23,35,12,6,7
Xylandir,US,"breach, fade",2,40,113,0.52,65%,84.7,0.38,0.38,0.03,0,20%,14%,01-Jul,10,15,29,15,1,0
oceyy,FR,"breach, skye, kayo",3,207,145.2,0.62,65%,94.1,0.48,0.36,0.04,0.11,25%,8%,Feb-26,14,100,162,75,9,22
Renna,BR,"omen, tejo, sova",3,303,136.9,0.64,65%,95.7,0.48,0.36,0.04,0.11,27%,11%,Mar-28,21,145,226,109,13,33
panipanichie,UN,"breach, sova",2,41,160,0.68,71%,101.6,0.56,0.32,0.05,0.02,22%,14%,01-Jul,14,23,34,13,2,1
Walli,AU,"sova, fade",2,224,137.3,0.6,64%,99.9,0.46,0.25,0.03,0.13,18%,8%,Mar-37,22,103,172,57,6,28
Lanz,BR,viper,1,23,162,0.68,57%,102.7,0.57,0.17,0.09,0.04,20%,,0/2,13,13,19,4,2,1
PewPeewWaifu,UN,"astra, omen, raze",3,52,132,0.58,62%,91.3,0.48,0.27,0.04,0.04,17%,,0/10,11,25,43,14,2,2
Neal X,KR,"neon, yoru",2,45,149.5,0.75,64%,92.1,0.53,0.24,0.11,0.2,19%,,0/1,12,24,32,11,5,9
Arctic,US,"sova, brimstone, breach",3,188,145.3,0.61,61%,100.2,0.49,0.27,0.05,0.12,30%,4%,Jan-28,14,92,150,51,10,23
Noble,US,"omen, astra, neon",3,332,159.7,0.65,58%,106.5,0.55,0.22,0.11,0.21,25%,14%,Apr-28,18,181,277,73,35,69
margaret,KR,"killjoy, cypher",2,65,137.7,0.62,57%,97.3,0.45,0.17,0.03,0.09,26%,,0/13,11,29,47,11,2,6
eggy,DE,"sova, fade",2,78,140.3,0.6,54%,91.9,0.5,0.13,0.06,0.09,35%,17%,02-Dec,12,39,65,10,5,7
Player,UN,"killjoy, cypher, vyse",3,78,165.8,0.65,50%,114.3,0.54,0.1,0,0.05,27%,8%,Jan-13,14,42,65,8,0,4
BRANDZ,PH,omen,1,39,145.5,0.56,51%,97.9,0.49,0.18,0.03,0.1,25%,14%,01-Jul,11,19,34,7,1,4
gebraa,SG,"sage, raze",2,31,167,0.57,65%,109.6,0.52,0.19,0.03,0.13,20%,,0/2,9,16,28,6,1,4
SPEEDEIEI,TH,"omen, clove",2,86,142.8,0.56,65%,105,0.44,0.4,0.05,0.12,28%,18%,02-Nov,14,38,68,34,4,10
Okin,US,omen,1,40,170,0.7,73%,105.2,0.58,0.28,0.03,0.08,28%,33%,01-Mar,12,23,33,11,1,3
Rabblllt,UN,"clove, omen, neon",3,87,172,0.68,56%,119,0.59,0.21,0.1,0.14,29%,,0/8,15,51,75,18,9,12
benzki,GB,"viper, breach",2,41,131.5,0.65,63%,93.1,0.49,0.34,0.07,0.07,33%,20%,01-May,17,20,31,14,3,3
znt,BR,killjoy,1,47,141,0.72,62%,99.9,0.49,0.11,0.02,0.06,29%,,0/2,15,23,32,5,1,3
hibari,PH,"yoru, breach, kayo",3,111,164.2,0.67,63%,99.5,0.55,0.31,0.12,0.06,30%,8%,01-Dec,15,61,91,34,13,7
zoe,MX,"sova, fade",2,49,126,0.6,51%,87.4,0.43,0.29,0.02,0.06,29%,20%,01-May,14,21,35,14,1,3
Noir,PH,"raze, jett, viper",3,83,178,0.77,60%,119.9,0.66,0.04,0.1,0.19,33%,,0/5,19,55,71,3,8,16
ScaR,IN,"omen, viper, cypher",3,87,147.4,0.66,53%,103.2,0.55,0.2,0.03,0.09,36%,,0/11,18,48,73,17,3,8
Kangarooow,UN,omen,1,26,178,0.7,50%,117.8,0.54,0.15,0.08,0.35,25%,50%,01-Feb,14,14,20,4,2,9
Aru,KR,"breach, skye, tejo",3,93,153.3,0.63,69%,99,0.48,0.3,0.05,0.11,28%,9%,01-Nov,15,45,72,28,5,10
Shiyokai,UN,fade,1,28,127,0.57,71%,105.8,0.43,0.25,0.04,0.07,21%,50%,01-Feb,12,12,21,7,1,2
meowcontrol,TH,"tejo, killjoy, cypher",3,83,149,0.71,55%,92.5,0.53,0.08,0.01,0.12,32%,18%,02-Nov,13,44,62,7,1,10
Pure,PL,"clove, killjoy",2,42,162,0.68,60%,108.7,0.6,0.17,0.1,0.12,26%,,0/3,18,25,37,7,4,5
Bamby,US,"cypher, killjoy, vyse",3,121,160.7,0.61,57%,108.4,0.54,0.18,0.09,0.15,25%,10%,Feb-20,19,65,106,22,11,18
Rice,SG,"killjoy, cypher, omen",3,137,142,0.61,54%,91.7,0.48,0.21,0.05,0.1,28%,16%,Apr-25,15,66,108,29,7,14
Frozenn,UN,"yoru, clove, neon",3,104,165,0.65,54%,115.7,0.58,0.07,0.12,0.16,34%,14%,Feb-14,18,60,92,7,12,17
aplo,KR,"raze, yoru, phoenix",3,53,168,0.61,66%,74.1,0.51,0.23,0.08,0.17,27%,,0/6,10,27,44,12,4,9
Shifty,US,"sova, fade",2,106,136.5,0.57,57%,92.7,0.47,0.27,0.03,0.05,24%,13%,Feb-16,13,50,87,29,3,5
Yuno,BR,omen,1,50,146.3,0.56,60%,90.4,0.48,0.38,0.02,0.12,29%,10%,01-Oct,13,24,43,19,1,6
Mari,PE,"killjoy, cypher",2,162,131.6,0.67,53%,95.1,0.51,0.12,0.04,0.11,32%,10%,Mar-30,17,82,122,19,6,18
polviaa,PL,"omen, breach",2,49,147,0.7,65%,91.4,0.53,0.31,0.06,0.06,30%,20%,01-May,13,26,37,15,3,3
bittersuite,UY,"breach, fade, sova",3,157,145.6,0.63,67%,100.3,0.5,0.31,0.03,0.04,39%,8%,Feb-26,16,78,124,48,5,6
SebZzdeus,ES,"skye, breach",2,34,139.5,0.61,74%,85.4,0.5,0.32,0.03,0.06,33%,,0/5,9,17,28,11,1,2
karmax1,PK,"cypher, sova, viper",3,131,154.5,0.65,62%,101.6,0.52,0.28,0.04,0.14,29%,21%,Mar-14,14,68,105,37,5,18
misa1x,MX,"viper, kayo, breach",3,63,164.8,0.64,56%,109.2,0.59,0.13,0.06,0.1,45%,13%,Feb-15,15,37,58,8,4,6
KnightJoe,EG,"jett, sage, omen",3,103,167.6,0.74,66%,111.9,0.57,0.29,0.11,0.12,19%,,0/5,16,59,80,30,11,12
LightQT,VN,"raze, neon, gekko",3,56,150,0.56,61%,102.9,0.48,0.3,0.04,0.18,25%,,0/7,13,27,48,17,2,10
Dusty,ID,"jett, raze",2,32,182.5,0.69,63%,114.8,0.63,0.09,0.22,0.13,29%,,0/3,12,20,29,3,7,4
rush,CR,"omen, viper, sova",3,139,150.1,0.68,64%,100.9,0.55,0.27,0.08,0.12,30%,6%,Jan-18,17,76,112,37,11,16
KNZY,CL,"killjoy, deadlock",2,37,138.5,0.57,49%,94.2,0.46,0.24,0.05,0,31%,,0/8,10,17,30,9,2,0
yaki,ID,omen,1,31,164.5,0.52,68%,105,0.52,0.42,0,0.06,25%,,0/4,11,16,31,13,0,2
SSeeS,JP,"sova, fade, omen",3,232,122.1,0.66,64%,81,0.43,0.2,0.04,0.11,26%,15%,May-33,12,100,152,47,10,25
serenity,DE,"chamber, neon",2,41,167.5,0.69,56%,113.6,0.54,0.17,0.05,0.22,20%,43%,03-Jul,11,22,32,7,2,9
Miku,CO,"jett, yoru, neon",3,139,179.6,0.68,57%,112.1,0.59,0.15,0.21,0.3,20%,25%,02-Aug,13,82,121,21,29,42
evilzinho,VN,vyse,1,37,174,0.66,59%,117.6,0.57,0.14,0.08,0.05,42%,,0/6,13,21,32,5,3,2
merge,US,"breach, sova, fade",3,139,124.3,0.56,63%,81.8,0.41,0.32,0.04,0.09,22%,9%,01-Nov,10,57,102,44,5,13
Syvyth,UN,"neon, clove",2,36,172.5,0.58,69%,117.8,0.53,0.33,0.14,0.17,13%,20%,01-May,11,19,33,12,5,6
P1no,RU,breach,1,38,161,0.58,63%,113.3,0.47,0.37,0.16,0.11,22%,,0/1,13,18,31,14,6,4
Ender,BR,"killjoy, vyse, breach",3,114,128.7,0.51,61%,91.3,0.41,0.28,0.04,0.07,29%,,0/17,14,47,92,32,5,8
zerurun,JP,"sova, fade",2,198,128.1,0.58,58%,88.9,0.45,0.24,0.05,0.07,25%,10%,Mar-30,18,89,153,48,10,13
bnj,AR,"astra, omen",2,101,136.4,0.63,60%,93.4,0.47,0.34,0.06,0.15,28%,19%,Mar-16,15,47,75,34,6,15
xowey,EN,"sova, fade",2,62,135,0.61,71%,95.5,0.45,0.35,0.08,0.15,18%,29%,02-Jul,14,28,46,22,5,9
Kinsoo,MX,"tejo, breach",2,43,172.5,0.72,65%,123.1,0.6,0.33,0.05,0.07,21%,,0/4,17,26,36,14,2,3
Tootsie,JP,"fade, sova, viper",3,680,145.9,0.61,59%,103.8,0.48,0.24,0.05,0.12,22%,10%,11/108,22,328,541,160,34,83
yyuririi,SG,"fade, killjoy",2,56,124.7,0.44,68%,94.6,0.34,0.45,0.05,0.04,21%,,0/9,10,19,43,25,3,2
fluffy,MY,"cypher, vyse, killjoy",3,152,131.9,0.6,54%,96.7,0.48,0.14,0.03,0.11,28%,14%,Apr-28,18,73,121,22,4,16
HanekoFr,FR,"sova, fade",2,47,148,0.58,53%,98.2,0.53,0.19,0.11,0.04,31%,8%,01-Dec,11,25,43,9,5,2
HooyoWalkEmDown,SO,omen,1,39,133.5,0.5,62%,86,0.41,0.26,0.03,0.1,22%,,0/3,9,16,32,10,1,4
jeyj7y,TR,"sova, fade",2,59,153,0.65,73%,108.7,0.53,0.25,0.03,0.14,38%,,0/2,16,31,48,15,2,8
Krsr,UN,sova,1,20,152,0.56,55%,115.2,0.45,0.2,0,0.15,28%,,0/2,9,9,16,4,0,3
YuFan,TW,"vyse, omen",2,33,181,0.67,64%,109.3,0.61,0.36,0.09,0.18,33%,33%,01-Mar,13,20,30,12,3,6
Cracko,AU,"neon, yoru, phoenix",3,114,146.4,0.67,66%,95.9,0.49,0.25,0.13,0.16,19%,,0/9,18,56,83,29,15,18
plobby,UN,"omen, cypher, kayo",3,138,148.1,0.56,60%,97.4,0.49,0.3,0.07,0.08,23%,5%,Jan-22,13,68,122,41,10,11
TopLuciano,IT,"neon, cypher, omen",3,121,169.8,0.65,68%,111.6,0.55,0.32,0.08,0.17,28%,,0/6,17,67,103,39,10,20
Paingu,FR,neon,1,32,176,0.66,53%,109.3,0.59,0.09,0.09,0.16,37%,,0/3,10,19,29,3,3,5
Kezyun,UY,"sova, tejo, yoru",3,204,151.3,0.72,62%,96.9,0.6,0.13,0.18,0.24,28%,10%,01-Oct,23,123,172,27,37,48
marA,IT,omen,1,37,139,0.7,49%,90,0.57,0.14,0,0.14,45%,,0/4,12,21,30,5,0,5
Slag,BR,"tejo, sage, deadlock",3,91,147.4,0.65,63%,93.3,0.52,0.21,0.07,0.09,32%,,0/5,13,47,72,19,6,8
SHNIKKOV,AU,"brimstone, vyse, killjoy",3,53,145,0.58,60%,72.1,0.47,0.4,0.08,0.11,20%,,0/6,9,25,43,21,4,6
LilHieu,VN,"yoru, omen",2,69,164,0.73,48%,103.9,0.62,0.16,0.12,0.29,18%,,0/7,18,43,59,11,8,20
elchuluno,ES,"deadlock, sova",2,34,176,0.63,47%,109.6,0.56,0.18,0.09,0.12,17%,,0/4,10,19,30,6,3,4
Pukytoo,AR,"omen, raze",2,43,164.5,0.65,67%,110.8,0.56,0.28,0.07,0.16,36%,14%,01-Jul,14,24,37,12,3,7
