Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
RILM,JP,"viper, kayo",2,35,230,1,69%,164.3,0.77,0.29,0.09,0.09,29%,9%,01-Nov,18,27,27,10,3,3
sarahcat,CA,"sova, viper, fade",3,583,234.2,1.15,74%,150.1,0.82,0.28,0.1,0.09,29%,16%,Sep-56,26,477,415,162,57,51
Fukkatsu,RU,yoru,1,95,253.6,1.05,66%,158.7,0.86,0.22,0.24,0.22,32%,7%,Jan-15,26,82,78,21,23,21
GON,JP,"astra, omen, viper",3,469,201.3,1.19,78%,131.5,0.71,0.34,0.06,0.04,29%,22%,Nov-51,25,334,281,159,29,19
Kess,KR,"sova, vyse, killjoy",3,1545,211.4,1.16,78%,138.6,0.74,0.34,0.06,0.04,25%,11%,24/218,26,1146,988,528,100,68
milliondollarext,UN,"viper, sova",2,38,226.5,1,79%,155.5,0.79,0.34,0.08,0.05,21%,38%,03-Aug,18,30,30,13,3,2
yatsuka,JP,"vyse, breach, deadlock",3,457,218,1.24,75%,140.4,0.81,0.17,0.12,0.08,35%,25%,14/57,26,370,298,76,53,37
zerona,US,"viper, sova, cypher",3,1028,228.1,1.2,72%,151.4,0.8,0.24,0.12,0.1,34%,14%,16/118,40,822,685,245,127,101
Sudu1,DK,"sova, cypher",2,45,252,0.97,67%,159.6,0.84,0.27,0.07,0,19%,11%,01-Sep,20,38,39,12,3,0
Feeqn,FI,cypher,1,23,223,1.13,83%,149.9,0.78,0.35,0,0.13,21%,25%,01-Apr,18,18,16,8,0,3
robz,FR,"sova, viper",2,130,207.2,1.15,74%,142.3,0.76,0.21,0.06,0.08,38%,25%,Jun-24,23,99,86,27,8,11
karam1l,IN,"vyse, cypher, viper",3,129,231.4,1.22,73%,149.5,0.85,0.25,0.15,0.12,32%,,0/11,23,110,90,32,19,15
aduka,MY,"sova, killjoy",2,60,215.3,1.25,80%,148.7,0.75,0.27,0.07,0.05,24%,50%,05-Oct,16,45,36,16,4,3
JA,PH,"killjoy, cypher",2,322,201.3,1.16,75%,137,0.7,0.25,0.08,0.07,27%,23%,Nov-47,22,226,195,80,27,24
KADIRI,AU,"jett, raze, yoru",3,668,221.1,1.19,74%,147,0.79,0.2,0.09,0.07,38%,15%,Dec-82,32,529,443,136,61,49
Hotsauz,PH,"viper, omen, astra",3,322,204.8,1.19,77%,136.3,0.75,0.34,0.09,0.07,32%,8%,Mar-38,24,242,203,109,30,22
Zeus,PH,"jett, yoru, neon",3,296,244.4,1.17,69%,154,0.84,0.17,0.22,0.15,27%,,0/20,26,249,212,51,64,44
primmie,TH,"neon, jett, deadlock",3,300,221.5,1.16,73%,141.2,0.79,0.21,0.09,0.08,39%,32%,Aug-25,23,236,203,63,28,25
DRSMURFFI,FI,"killjoy, vyse",2,158,218.1,1.29,68%,147.9,0.78,0.16,0.08,0.07,26%,16%,Mar-19,22,124,96,25,12,11
ducq,MX,"sova, omen, breach",3,979,205.8,1.15,74%,136.5,0.73,0.27,0.06,0.05,32%,12%,20/169,28,715,621,266,58,53
sickerz,MY,"sova, fade",2,152,215.1,1.11,72%,143.9,0.78,0.26,0.05,0.04,39%,18%,Jun-34,27,119,107,39,8,6
Xaline,FR,omen,1,155,221.3,1.03,75%,144.5,0.75,0.45,0.07,0.05,19%,9%,Feb-22,21,116,113,69,11,7
